City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Fairbanks,US,64.8378,-147.7164,288.15,87,90,5.14,light rain
322,Iskateley,RU,67.6803,53.1512,281.65,81,1,1.75,clear sky
323,Antofagasta,CL,-23.65,-70.4,287.75,83,49,3.01,scattered clouds
324,Ipu,BR,-4.3222,-40.7108,299.01,56,84,0.53,broken clouds
325,Napier,NZ,-39.4833,176.9167,286.64,48,6,3.58,clear sky
326,Baft,IR,29.234,56.6057,294.76,22,5,2.34,clear sky
327,Asau,RO,46.4333,26.4,292.66,83,1,1.67,light rain
328,Najran,SA,17.4924,44.1277,302.51,23,59,1.49,broken clouds
329,Bereda,ES,43.2686,-7.5406,286.44,99,0,0.58,clear sky
330,Adrar,MR,20.5022,-10.0711,302.94,19,67,5.51,broken clouds
331,Cap-Aux-Meules,CA,47.3821,-61.8597,291.16,77,40,1.03,scattered clouds
332,Lons-Le-Saunier,FR,46.75,5.75,289.95,69,31,1.63,scattered clouds
333,Manakara,MG,-22.1333,48.0167,290.88,94,10,1.48,clear sky
334,Mazatlan,MX,23.2167,-106.4167,305.38,68,40,0.89,scattered clouds
335,La Baule-Escoublac,FR,47.2922,-2.364,290.86,93,0,2.57,clear sky
336,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,296.36,90,85,4.36,overcast clouds
337,Samarai,PG,-10.6167,150.6667,299.02,86,26,7.17,scattered clouds
338,Anchorage,US,61.2181,-149.9003,291.86,59,90,5.14,light rain
339,Jamame,SO,0.0722,42.7506,296.6,80,100,5.34,overcast clouds
340,Manoharpur,IN,27.3,75.95,298.68,78,92,3.18,overcast clouds
341,Kambove,CD,-10.8764,26.5969,288.34,39,0,1.88,clear sky
342,Polunochnoye,RU,60.8697,60.4153,284.01,90,100,3.42,overcast clouds
